,day,month,year,dow,hour,min,depICAO,craftType,airline
102,04,12,2022,Sunday,08,05,KTPA,Airbus,American
103,04,12,2022,Sunday,08,40,KATL,Boeing,Delta Air Lines
104,04,12,2022,Sunday,08,32,KATL,Boeing,Delta Air Lines
105,04,12,2022,Sunday,08,00,KSHD,Embraer,Contour Aviation
106,04,12,2022,Sunday,08,00,KCKB,Embraer,Contour Aviation
107,04,12,2022,Sunday,08,40,KTEB,Other,Libyan
108,04,12,2022,Sunday,08,14,KFLL,Airbus,Spirit
109,04,12,2022,Sunday,09,16,KBOS,Airbus,American
110,04,12,2022,Sunday,09,56,KBHM,Airbus,American
111,04,12,2022,Sunday,09,17,KCMH,Airbus,American
112,04,12,2022,Sunday,09,54,KMSY,Airbus,American
113,04,12,2022,Sunday,09,52,KEWR,Boeing,American
114,04,12,2022,Sunday,09,57,CYYZ,Airbus,American
115,04,12,2022,Sunday,09,51,KMEM,Airbus,American
116,04,12,2022,Sunday,09,58,KOKC,Airbus,American
117,04,12,2022,Sunday,09,14,KFLL,Airbus,American
118,04,12,2022,Sunday,09,43,KMCI,Boeing,American
119,04,12,2022,Sunday,09,36,KPBI,Boeing,American
120,04,12,2022,Sunday,09,55,KLIT,Airbus,American
121,04,12,2022,Sunday,09,18,KMCO,Airbus,American
122,04,12,2022,Sunday,09,10,KIAD,Airbus,American
123,04,12,2022,Sunday,09,56,KRSW,Airbus,American
124,04,12,2022,Sunday,09,56,KDSM,Canadair Regional,American
125,04,12,2022,Sunday,09,15,KORF,Canadair Regional,American
126,04,12,2022,Sunday,09,26,KGPT,Canadair Regional,American
127,04,12,2022,Sunday,09,54,KORD,Boeing,American
128,04,12,2022,Sunday,09,15,KLGA,Boeing,American
129,04,12,2022,Sunday,09,58,KSTL,Airbus,American
130,04,12,2022,Sunday,09,25,KDTW,Boeing,Delta Air Lines
131,04,12,2022,Sunday,09,45,KBKW,Embraer,Contour Aviation
132,04,12,2022,Sunday,09,30,KMSL,Embraer,Contour Aviation
133,04,12,2022,Sunday,09,26,KATW,Embraer,Envoy Air
134,04,12,2022,Sunday,10,31,KOMA,Boeing,American
135,04,12,2022,Sunday,10,15,KDAB,Airbus,American
136,04,12,2022,Sunday,10,07,KMKE,Airbus,American
137,04,12,2022,Sunday,10,11,KMSN,Airbus,American
138,04,12,2022,Sunday,10,16,KEYW,Airbus,American
139,04,12,2022,Sunday,10,29,KTUL,Boeing,American
140,04,12,2022,Sunday,10,09,KPIT,Airbus,American
141,04,12,2022,Sunday,10,28,KRDU,Airbus,American
142,04,12,2022,Sunday,10,23,KRIC,Airbus,American
143,04,12,2022,Sunday,10,06,KCLE,Boeing,American
144,04,12,2022,Sunday,10,17,KFLL,Airbus,American
145,04,12,2022,Sunday,10,14,KATL,Airbus,American
146,04,12,2022,Sunday,10,09,CYUL,Airbus,American
147,04,12,2022,Sunday,09,41,KXNA,Embraer,Envoy Air
148,04,12,2022,Sunday,10,03,KMIA,Airbus,American
149,04,12,2022,Sunday,10,00,KTPA,Airbus,American
150,04,12,2022,Sunday,10,41,KMDT,Airbus,American
151,04,12,2022,Sunday,10,09,KPHL,Boeing,American
152,04,12,2022,Sunday,10,00,KAUS,Airbus,American
153,04,12,2022,Sunday,10,30,KSAT,Boeing,American
154,04,12,2022,Sunday,10,11,KIND,Boeing,American
155,04,12,2022,Sunday,10,18,KLGA,Boeing,American
156,04,12,2022,Sunday,10,50,KMCO,Airbus,American
157,04,12,2022,Sunday,10,16,KATW,Embraer,American
158,04,12,2022,Sunday,10,23,KXNA,Embraer,American
159,04,12,2022,Sunday,10,06,KMCO,Airbus,American
160,04,12,2022,Sunday,10,15,KMOB,Canadair Regional,American
161,04,12,2022,Sunday,10,16,KBTV,Canadair Regional,American
162,04,12,2022,Sunday,10,30,KSDF,Canadair Regional,American
163,04,12,2022,Sunday,10,30,KPIA,Canadair Regional,American
164,04,12,2022,Sunday,10,25,KPNS,Canadair Regional,American
165,04,12,2022,Sunday,10,04,KJAN,Canadair Regional,American
166,04,12,2022,Sunday,10,32,KCAK,Canadair Regional,American
167,04,12,2022,Sunday,10,29,KDFW,Airbus,American
168,04,12,2022,Sunday,10,30,KTYS,Canadair Regional,American
169,04,12,2022,Sunday,10,30,KCVG,Canadair Regional,American
170,04,12,2022,Sunday,10,13,KSHV,Canadair Regional,American
171,04,12,2022,Sunday,10,17,KBGR,Canadair Regional,American
172,04,12,2022,Sunday,10,21,KERI,Embraer,American
173,04,12,2022,Sunday,10,23,KEVV,Embraer,American
174,04,12,2022,Sunday,10,07,KMGM,Embraer,American
175,04,12,2022,Sunday,10,28,KROA,Embraer,American
176,04,12,2022,Sunday,10,34,KBOS,Airbus,American
177,04,12,2022,Sunday,10,30,KBNA,Airbus,American
178,04,12,2022,Sunday,10,04,KSRQ,Boeing,American
179,04,12,2022,Sunday,10,05,KPWM,Airbus,American
180,04,12,2022,Sunday,10,26,KDCA,Boeing,American
181,04,12,2022,Sunday,10,44,KMSP,Boeing,Delta Air Lines
182,04,12,2022,Sunday,10,25,KJFK,Canadair Regional,Delta Air Lines
183,04,12,2022,Sunday,10,29,KIAD,Other,Unknown/Private owner
184,04,12,2022,Sunday,10,54,KSAV,Other,Unknown/Private owner
185,04,12,2022,Sunday,10,13,KIAD,Embraer,United
186,04,12,2022,Sunday,10,17,KMSP,Boeing,American
187,04,12,2022,Sunday,10,10,KBWI,Boeing,Southwest
188,04,12,2022,Sunday,11,55,KORF,Boeing,American
189,04,12,2022,Sunday,11,59,KMCO,Airbus,American
190,04,12,2022,Sunday,11,13,TJSJ,Airbus,American
191,04,12,2022,Sunday,11,49,KIAH,Boeing,American
192,04,12,2022,Sunday,11,15,KVPS,Airbus,American
193,04,12,2022,Sunday,11,53,KDFW,Airbus,American
194,04,12,2022,Sunday,11,53,KDTW,Airbus,American
195,04,12,2022,Sunday,11,59,KTPA,Boeing,American
196,04,12,2022,Sunday,11,51,KJFK,Boeing,American
197,04,12,2022,Sunday,11,43,KFLO,Embraer,American
198,04,12,2022,Sunday,11,55,KPHX,Airbus,American
199,04,12,2022,Sunday,11,48,KBNA,Airbus,American
200,04,12,2022,Sunday,11,10,KATL,Boeing,Delta Air Lines
201,04,12,2022,Sunday,11,40,KSPA,Other,FNX
202,04,12,2022,Sunday,11,32,KJAN,Other,Unknown/Private owner
203,04,12,2022,Sunday,11,39,KFAY,Other,Unknown/Private owner
204,04,12,2022,Sunday,11,03,KMIA,Airbus,Spirit
205,04,12,2022,Sunday,11,18,KEWR,Airbus,United
206,04,12,2022,Sunday,12,28,KAFW,Boeing,ATI
207,04,12,2022,Sunday,12,11,KRIC,Airbus,American
208,04,12,2022,Sunday,12,10,KCHS,Airbus,American
209,04,12,2022,Sunday,12,15,KDCA,Airbus,American
210,04,12,2022,Sunday,12,22,KFLL,Airbus,American
211,04,12,2022,Sunday,12,59,KPNS,Airbus,American
212,04,12,2022,Sunday,12,27,KORD,Boeing,American
213,04,12,2022,Sunday,12,12,KRDU,Airbus,American
214,04,12,2022,Sunday,12,16,KIAD,Airbus,American
215,04,12,2022,Sunday,12,38,KBNA,Boeing,American
216,04,12,2022,Sunday,12,19,KLGA,Airbus,American
217,04,12,2022,Sunday,12,06,KBWI,Airbus,American
218,04,12,2022,Sunday,12,25,KMIA,Boeing,American
219,04,12,2022,Sunday,12,06,KEWR,Boeing,American
220,04,12,2022,Sunday,12,23,KSAV,Canadair Regional,American
221,04,12,2022,Sunday,12,08,KHPN,Canadair Regional,American
222,04,12,2022,Sunday,12,39,KHSV,Canadair Regional,American
223,04,12,2022,Sunday,12,08,KDEN,Airbus,American
224,04,12,2022,Sunday,12,28,KCHA,Embraer,American
225,04,12,2022,Sunday,12,27,KCHO,Embraer,American
226,04,12,2022,Sunday,12,14,KAGS,Embraer,American
227,04,12,2022,Sunday,12,29,KPHF,Embraer,American
228,04,12,2022,Sunday,12,09,KSAT,Boeing,American
229,04,12,2022,Sunday,12,26,KXNA,Embraer,American
230,04,12,2022,Sunday,12,25,KAUS,Boeing,American
231,04,12,2022,Sunday,12,13,KTYS,Canadair Regional,American
232,04,12,2022,Sunday,12,19,KMYR,Canadair Regional,American
233,04,12,2022,Sunday,12,02,KBOS,Airbus,American
234,04,12,2022,Sunday,12,31,MYNN,Airbus,American
235,04,12,2022,Sunday,12,20,KPHL,Airbus,American
236,04,12,2022,Sunday,12,07,KBOS,Embraer,JetBlue Airways
237,04,12,2022,Sunday,12,05,KDTW,Boeing,Delta Air Lines
238,04,12,2022,Sunday,12,11,KLGA,Canadair Regional,Delta Air Lines
239,04,12,2022,Sunday,12,05,KDEN,Airbus,Frontier
240,04,12,2022,Sunday,12,03,KSVH,Other,Unknown/Private owner
241,04,12,2022,Sunday,12,47,KMCO,Airbus,Spirit
242,04,12,2022,Sunday,13,52,KAUS,Airbus,American
243,04,12,2022,Sunday,13,45,KEWR,Airbus,American
244,04,12,2022,Sunday,13,40,KDAB,Airbus,American
245,04,12,2022,Sunday,13,54,KJFK,Airbus,American
246,04,12,2022,Sunday,13,50,KECP,Airbus,American
247,04,12,2022,Sunday,13,35,KBHM,Airbus,American
248,04,12,2022,Sunday,13,59,KSAN,Airbus,American
249,04,12,2022,Sunday,13,28,KLAS,Airbus,American
250,04,12,2022,Sunday,13,50,KBNA,Airbus,American
251,04,12,2022,Sunday,13,48,KMSY,Airbus,American
252,04,12,2022,Sunday,13,36,KSRQ,Airbus,American
253,04,12,2022,Sunday,13,25,KORD,Boeing,American
